RegionID,SizeRank,RegionName,RegionType,StateName,State,City,CountyName,06-30-25
91982,1,77494,zip,TX,TX,Katy,Fort Bend County,506443.2097
61148,2,8701,zip,NJ,NJ,Lakewood,Ocean County,575095.3184
91940,3,77449,zip,TX,TX,Katy,Harris County,281003.3936
62080,4,11368,zip,NY,NY,New York,Queens County,540856.6547
91733,5,77084,zip,TX,TX,Houston,Harris County,275597.573
93144,6,79936,zip,TX,TX,El Paso,El Paso County,218670.5763
62093,7,11385,zip,NY,NY,New York,Queens County,865214.4429
92593,8,78660,zip,TX,TX,Pflugerville,Travis County,394652.2019
62019,9,11208,zip,NY,NY,New York,Kings County,732636.714
95992,10,90011,zip,CA,CA,Los Angeles,Los Angeles County,614638.6276
91926,11,77433,zip,TX,TX,Cypress,Harris County,438866.1918
84630,12,60629,zip,IL,IL,Chicago,Cook County,264999.4088
96193,13,90650,zip,CA,CA,Norwalk,Los Angeles County,762324.4161
96361,14,91331,zip,CA,CA,Los Angeles,Los Angeles County,754930.9828
74101,15,37013,zip,TN,TN,Nashville,Davidson County,370371.0004
62046,16,11236,zip,NY,NY,New York,Kings County,679803.1453
61807,17,10467,zip,NY,NY,New York,Bronx County,430957.5481
62085,18,11373,zip,NY,NY,New York,Queens County,507316.5979
62037,19,11226,zip,NY,NY,New York,Kings County,812252.3108
62018,20,11207,zip,NY,NY,New York,Kings County,636064.6036
70829,21,30044,zip,GA,GA,Lawrenceville,Gwinnett County,370939.3923
96025,22,90044,zip,CA,CA,Los Angeles,Los Angeles County,660839.6841
96817,23,92336,zip,CA,CA,Fontana,San Bernardino County,711021.0246
97771,24,94565,zip,CA,CA,Pittsburg,Contra Costa County,579987.6744
92036,25,77573,zip,TX,TX,League City,Galveston County,388402.8963
96816,26,92335,zip,CA,CA,Fontana,San Bernardino County,567146.2263
96083,27,90201,zip,CA,CA,Bell,Los Angeles County,688823.3516
96107,28,90250,zip,CA,CA,Hawthorne,Los Angeles County,889528.9015
61639,29,10025,zip,NY,NY,New York,New York County,1104072.557
90654,30,75052,zip,TX,TX,Grand Prairie,Dallas County,331870.9201
96239,31,90805,zip,CA,CA,Long Beach,Los Angeles County,710261.0204
62025,32,11214,zip,NY,NY,New York,Kings County,754616.1617
84620,33,60618,zip,IL,IL,Chicago,Cook County,539286.0066
97223,34,93307,zip,CA,CA,Bakersfield,Kern County,318477.4091
96125,35,90280,zip,CA,CA,South Gate,Los Angeles County,700384.6171
62044,36,11234,zip,NY,NY,New York,Kings County,767025.1701
96368,37,91342,zip,CA,CA,Los Angeles,Los Angeles County,816463.9453
96990,38,92683,zip,CA,CA,Westminster,Orange County,1072854.114
61790,39,10314,zip,NY,NY,New York,Richmond County,693147.1641
62031,40,11220,zip,NY,NY,New York,Kings County,944273.7743
84639,41,60639,zip,IL,IL,Chicago,Cook County,322421.3619
92341,42,78245,zip,TX,TX,San Antonio,Bexar County,264178.0542
62030,43,11219,zip,NY,NY,New York,Kings County,1164554.258
96882,44,92503,zip,CA,CA,Riverside,Riverside County,644322.4172
92481,46,78521,zip,TX,TX,Brownsville,Cameron County,171968.7247
62017,47,11206,zip,NY,NY,New York,Kings County,1046914.461
62032,48,11221,zip,NY,NY,New York,Kings County,1103244.719
61796,49,10456,zip,NY,NY,New York,Bronx County,449757.5331
96825,50,92345,zip,CA,CA,Hesperia,San Bernardino County,447792.8416
91968,51,77479,zip,TX,TX,Sugar Land,Fort Bend County,554975.3084
96546,52,91911,zip,CA,CA,Chula Vista,San Diego County,773236.321
70828,53,30043,zip,GA,GA,Lawrenceville,Gwinnett County,421154.2196
62034,54,11223,zip,NY,NY,New York,Kings County,1072704.377
399727,55,78542,zip,TX,TX,Edinburg,Hidalgo County,203398.0643
92551,56,78613,zip,TX,TX,Cedar Park,Williamson County,488001.884
62040,57,11230,zip,NY,NY,New York,Kings County,907748.3612
84646,58,60647,zip,IL,IL,Chicago,Cook County,537071.3707
97104,59,93033,zip,CA,CA,Oxnard,Ventura County,709932.4365
97970,60,95076,zip,CA,CA,Watsonville,Santa Cruz County,850864.3254
96690,61,92154,zip,CA,CA,San Diego,San Diego County,750898.0166
91922,62,77429,zip,TX,TX,Cypress,Harris County,388885.9131
61798,63,10458,zip,NY,NY,New York,Bronx County,421473.7028
96846,64,92376,zip,CA,CA,Rialto,San Bernardino County,566977.5338
84693,65,60804,zip,IL,IL,Cicero,Cook County,266863.901
62088,66,11377,zip,NY,NY,New York,Queens County,553335.7422
93146,67,79938,zip,TX,TX,El Paso,El Paso County,249578.5532
97023,68,92804,zip,CA,CA,Anaheim,Orange County,928832.2781
96468,69,91710,zip,CA,CA,Chino,San Bernardino County,777388.0354
97431,70,93722,zip,CA,CA,Fresno,Fresno County,402072.626
97567,71,94112,zip,CA,CA,San Francisco,San Francisco County,1092294.163
100179,72,99301,zip,WA,WA,Pasco,Franklin County,420064.979
62045,73,11235,zip,NY,NY,New York,Kings County,599548.3821
84633,74,60632,zip,IL,IL,Chicago,Cook County,278149.0756
92045,75,77584,zip,TX,TX,Pearland,Brazoria County,393746.3688
62039,76,11229,zip,NY,NY,New York,Kings County,763698.6232
98432,77,95823,zip,CA,CA,Sacramento,Sacramento County,434037.7401
92271,78,78130,zip,TX,TX,New Braunfels,Comal County,320168.8623
84619,79,60617,zip,IL,IL,Chicago,Cook County,175263.503
67182,80,22193,zip,VA,VA,Woodbridge,Prince William County,511383.7976
62043,81,11233,zip,NY,NY,New York,Kings County,1048889.264
90769,82,75217,zip,TX,TX,Dallas,Dallas County,201212.5528
61793,84,10453,zip,NY,NY,New York,Bronx County,596201.1029
69431,85,27587,zip,NC,NC,Wake Forest,Wake County,527607.1437
89925,87,73099,zip,OK,OK,Yukon,Canadian County,272539.8513
91889,88,77379,zip,TX,TX,Spring,Harris County,372420.111
98848,90,96706,zip,HI,HI,Ewa Beach,Honolulu County,825472.4441
62015,91,11204,zip,NY,NY,New York,Kings County,1208072.874
74126,92,37042,zip,TN,TN,Clarksville,Montgomery County,300359.2293
417444,93,85142,zip,AZ,AZ,Queen Creek,Maricopa County,589287.1334
70810,94,30024,zip,GA,GA,Suwanee,Gwinnett County,630949.325
61808,95,10468,zip,NY,NY,New York,Bronx County,264543.0192
93137,96,79928,zip,TX,TX,Horizon City,El Paso County,257773.3654
97940,97,95035,zip,CA,CA,Milpitas,Santa Clara County,1517705.532
