zip_code,lat,lng
06390,41.27027,-71.98886
10001,40.75064,-73.99728
10002,40.71597,-73.98692
10003,40.73184,-73.98915
10004,40.69431,-74.01835
10005,40.70614,-74.00862
10006,40.70949,-74.01306
10007,40.71387,-74.00792
10009,40.72639,-73.97865
10010,40.73899,-73.98243
10011,40.74173,-74.00037
10012,40.7256,-73.99794
10013,40.72001,-74.00472
10014,40.73407,-74.00601
10016,40.74515,-73.97807
10017,40.75235,-73.9726
10018,40.75536,-73.99265
10019,40.76586,-73.9853
10020,40.75917,-73.98071
10021,40.76963,-73.95899
10022,40.75856,-73.96787
10023,40.77464,-73.97836
10024,40.78534,-73.97138
10025,40.79825,-73.96831
10026,40.80302,-73.95348
10027,40.81187,-73.95459
10028,40.77643,-73.95339
10029,40.79265,-73.94788
10030,40.81826,-73.94283
10031,40.82485,-73.95023
10032,40.839,-73.94282
10033,40.84744,-73.93549
10034,40.86749,-73.92358
10035,40.79538,-73.92965
10036,40.75976,-73.99064
10037,40.81302,-73.93776
10038,40.70914,-74.00298
10039,40.82631,-73.93752
10040,40.85807,-73.9296
10044,40.76209,-73.94981
10065,40.76472,-73.96332
10069,40.77752,-73.98875
10075,40.77342,-73.95642
10103,40.76078,-73.97767
10110,40.7545,-73.98226
10111,40.75953,-73.97858
10112,40.75891,-73.97904
10115,40.81085,-73.96374
10119,40.75064,-73.99273
10128,40.78151,-73.95018
10152,40.75872,-73.9718
10153,40.76362,-73.97244
10154,40.75778,-73.97249
10162,40.76936,-73.94986
10165,40.75213,-73.97872
10167,40.75465,-73.97477
10168,40.75145,-73.9771
10169,40.75467,-73.97643
10170,40.75263,-73.97588
10171,40.7559,-73.97386
10172,40.75527,-73.97431
10173,40.75379,-73.97961
10174,40.75144,-73.975
10177,40.75498,-73.97589
10199,40.75138,-73.99715
10271,40.70844,-74.01033
10278,40.71513,-74.00373
10279,40.71263,-74.00867
10280,40.70985,-74.01651
10282,40.71655,-74.01495
10301,40.62803,-74.09564
10302,40.63055,-74.13776
10303,40.63223,-74.16903
10304,40.60671,-74.0931
10305,40.59592,-74.07539
10306,40.57149,-74.1243
10307,40.50817,-74.24254
10308,40.55213,-74.15029
10309,40.53001,-74.21912
10310,40.63243,-74.11653
10311,40.60523,-74.17956
10312,40.54489,-74.18084
10314,40.60086,-74.16306
10451,40.82097,-73.92383
10452,40.8378,-73.92333
10453,40.85248,-73.9133
10454,40.8056,-73.91664
10455,40.8148,-73.90862
10456,40.83064,-73.90812
10457,40.84571,-73.89794
10458,40.86249,-73.88643
10459,40.82572,-73.89295
10460,40.84273,-73.87891
10461,40.84671,-73.84079
10462,40.84297,-73.85873
10463,40.88841,-73.89905
10464,40.86821,-73.80044
10465,40.8286,-73.82179
10466,40.89104,-73.8461
10467,40.87522,-73.872
10468,40.8681,-73.89985
10469,40.86851,-73.84666
10470,40.89598,-73.86805
10471,40.90002,-73.9067
10472,40.82968,-73.86942
10473,40.81817,-73.85889
10474,40.81061,-73.8846
10475,40.87528,-73.82702
10501,41.2954,-73.76006
10502,41.01126,-73.8409
10503,41.02654,-73.8753
10504,41.13065,-73.70629
10505,41.34207,-73.74791
10506,41.1889,-73.63411
10507,41.22879,-73.6878
10509,41.41205,-73.5937
10510,41.14152,-73.83411
10511,41.26302,-73.94391
10512,41.4483,-73.71054
10514,41.17331,-73.77071
10516,41.45342,-73.90233
10517,41.29837,-73.86013
10518,41.26787,-73.60073
10519,41.34701,-73.66196
10520,41.22183,-73.87348
10522,41.01221,-73.8646
10523,41.06005,-73.81859
10524,41.37076,-73.92201
10526,41.29388,-73.66171
10527,41.3195,-73.76502
10528,40.97819,-73.72306
10530,41.02304,-73.80764
