address,zip,price,bedrooms,bathrooms,sqft,url,lat,lng,Transit Score,Social Score,Grocery Score
50-54 E 8th St #5P,10003,2000,1,1,700,https://www.zillow.com,40.731922,-73.99555,0,0,0
328 E 15th St #700,10003,3100,1,1,,https://www.zillow.com,40.732365,-73.983444,0,0,0
245 E 13th St APT 12,10003,5950,2,1,,https://www.zillow.com,40.732094,-73.98588,0,0,0
241 E 18th St APT 3R,10003,6900,2,2,,https://www.zillow.com,40.73525,-73.98349,0,0,0
114 E 4th St APT 2,10003,4900,2,1,,https://www.zillow.com,40.72552,-73.98812,0,0,0
201 E 12th St APT 314,10003,6350,2,1,,https://www.zillow.com,40.73183,-73.98753,0,0,0
58 E 1st St APT 3B,10003,4995,2,1,,https://www.zillow.com,40.72392,-73.98915,0,0,0
336 E 5th St APT 1RE,10003,2950,0,1,,https://www.zillow.com,40.725895,-73.98743,0,0,0
78 E 3rd St APT 2R,10003,5000,2,2,,https://www.zillow.com,40.724777,-73.98855,0,0,0
101 E 10th St #9A,10003,5670,1,1,480,https://www.zillow.com,40.730705,-73.98863,0,0,0
317 E 5th St #2B,10003,3620,0,1,,https://www.zillow.com,40.72663,-73.98802,0,0,0
166 2nd Ave APT 15E,10003,7395,2,1,710,https://www.zillow.com,40.72997,-73.98641,0,0,0
317 E 9th St APT 1,10003,3050,0,1,,https://www.zillow.com,40.728985,-73.986206,0,0,0
15 Saint Marks Pl #6F,10003,5760,1,1,700,https://www.zillow.com,40.729355,-73.98884,0,0,0
70 Irving Pl APT 1B,10003,5800,1,1,,https://www.zillow.com,40.736546,-73.986534,0,0,0
84 E 3rd St APT 4D,10003,3000,0,1,,https://www.zillow.com,40.724678,-73.988304,0,0,0
71 E 2nd St APT 3B,10003,2750,0,1,,https://www.zillow.com,40.72423,-73.989136,0,0,0
31 E 12th St APT 3E,10003,6500,1,1,,https://www.zillow.com,40.73397,-73.99241,0,0,0
139 1st Ave #17,10003,3900,1,1,,https://www.zillow.com,40.728054,-73.98538,0,0,0
46 E 1st St #4C,10003,3395,1,1,,https://www.zillow.com,40.72404,-73.98968,0,0,0
327 E 14th St APT 2A,10003,4000,1,1,,https://www.zillow.com,40.7321,-73.98361,0,0,0
22 E 1st St APT 201,10003,4865,0,1,561,https://www.zillow.com,40.724583,-73.99128,0,0,0
330 E 11th St APT 2,10003,2850,1,1,,https://www.zillow.com,40.72955,-73.98497,0,0,0
30 E 14th St #2G,10003,6500,2,1,,https://www.zillow.com,40.735252,-73.992256,0,0,0
59 4th Ave APT 2B,10003,12000,2,3,1710,https://www.zillow.com,40.730663,-73.99004,0,0,0
