address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2935B Middletown Rd #1,10461,1850,40.843884,-73.831635,,1,1,600,20,60,81
1845 Hobart Ave APT 6E,10461,1925,40.848465,-73.83171,,1,1,,17,63,81
1462 William Pl #1,10461,1850,40.84027,-73.83508,,1,1,,17,34,73
1545 Rhinelander Ave #1Z,10461,2199,40.8562,-73.84207,,1,1,1100,1,30,23
2879 Roberts Ave #1,10461,3000,40.84565,-73.83322,,3,2,2200,17,60,81
1060 Rhinelander Ave APT 1,10461,2600,40.850784,-73.8556,,1,1,1000,11,46,77
1855 Tomlinson Ave,10461,2750,40.851303,-73.85366,,2,1,900,5,47,65
2827 Harrington Ave FLOOR 1,10461,4111,40.839275,-73.83487,,4,1,100,15,31,65
1529 Gillespie Ave FLOOR 2,10461,2200,40.843025,-73.83135,,1,1,800,17,54,77
1233 Lydig Ave FLOOR 1,10461,2850,40.856365,-73.85103,,2,1,1250,13,30,27
