Zip Code,Latitude,Longitude,Listing Count,Median Rent,Avg Housing Score,Avg Transit Score,Avg Daily Living Score,Avg Grocery Score,Affordability Index
10005,40.705776,-74.00724,2,3498,83,100,84,71,85
10006,40.708073,-74.01485,1,3695,81,100,89,75,85
10002,40.713463,-73.99215,10,4300,78,99,83,82,83
11216,40.69007,-73.95127,10,3500,82,89,73,84,83
10013,40.717564,-73.996956,10,4363,76,97,91,73,82
10018,40.75591,-73.99407,10,3835,82,78,93,78,82
11206,40.702545,-73.95526,10,3525,83,89,71,77,82
11240,40.70004,-73.99253,10,3715,80,92,71,80,82
11251,40.702545,-73.95526,10,3297,83,88,61,80,82
11205,40.69571,-73.9717,10,3424,82,89,63,81,81
11213,40.665497,-73.94128,10,3225,84,81,58,82,81
11237,40.699497,-73.91611,10,3598,82,74,88,82,81
11245,40.69571,-73.9717,10,3715,81,88,68,81,81
11247,40.69007,-73.95127,10,3400,83,82,62,83,81
10009,40.730713,-73.98177,10,4505,78,82,83,86,80
10019,40.765377,-73.994026,9,3200,81,76,89,70,80
10036,40.75984,-73.99253,10,3438,81,75,91,75,80
11215,40.67493,-73.97933,10,3648,81,83,68,74,80
11217,40.683468,-73.98479,10,4275,78,88,73,79,80
11221,40.69127,-73.927734,10,3300,83,84,56,82,80
11226,40.6482,-73.96173,10,2745,87,63,69,88,80
11233,40.68101,-73.915634,10,3173,83,82,52,81,80
11238,40.684315,-73.96329,10,4098,80,86,65,85,80
11241,40.70004,-73.99253,10,3800,78,90,75,78,80
11242,40.70004,-73.99253,10,3800,78,91,75,78,80
10004,40.690086,-73.994705,9,4700,73,94,80,78,79
10014,40.727505,-74.00384,10,4275,76,88,82,77,79
10021,40.767994,-73.95493,10,3713,81,67,89,76,79
10038,40.71293,-73.9969,10,4844,73,98,88,74,79
10451,40.824207,-73.9264,9,2450,90,56,57,86,79
11201,40.70004,-73.99253,10,3838,76,92,71,79,79
11208,40.68375,-73.88509,10,2250,90,68,30,81,79
11212,40.65735,-73.91775,10,2898,85,72,54,83,79
11220,40.637966,-74.02578,10,2575,89,61,59,77,79
11249,40.72024,-73.960556,10,4139,79,79,82,78,79
11386,40.71001,-73.90259,10,3000,84,71,60,82,79
11421,40.6921,-73.857025,10,3100,87,64,57,81,79
10012,40.729477,-73.999535,10,4645,70,97,87,80,78
10029,40.791523,-73.94465,10,3011,85,55,76,83,78
10030,40.818104,-73.94078,10,3100,86,52,69,91,78
10065,40.76436,-73.95886,10,3485,81,70,86,72,78
10452,40.835724,-73.92372,10,2113,90,53,49,80,78
10453,40.85839,-73.90308,10,2450,90,47,68,81,78
10454,40.804718,-73.922386,8,2623,90,49,60,79,78
11203,40.64975,-73.92467,10,2825,87,64,52,81,78
11207,40.687977,-73.905624,10,3600,83,80,46,80,78
11211,40.713043,-73.93823,10,4798,77,83,77,78,78
11225,40.661243,-73.94577,10,3635,82,74,59,80,78
11230,40.626686,-73.971954,10,2300,90,58,47,78,78
11372,40.753914,-73.89061,10,2425,89,45,69,87,78
11373,40.744003,-73.878876,10,2450,88,53,62,83,78
11381,40.71001,-73.90259,10,3100,84,68,62,80,78
11385,40.71001,-73.90259,10,3000,85,67,60,78,78
10011,40.74299,-74.003,10,4275,74,86,89,67,77
10016,40.745903,-73.9759,10,4148,76,73,90,73,77
10026,40.801888,-73.9568,10,3370,83,59,73,85,77
10035,40.79953,-73.93846,10,3100,85,56,70,80,77
10280,40.70667,-74.01816,2,4225,78,91,61,65,77
11210,40.6315,-73.943275,10,2810,89,54,43,89,77
11219,40.637245,-73.998604,10,2925,86,59,54,77,77
11231,40.67953,-74.00955,10,4200,79,81,58,78,77
11377,40.747704,-73.90111,10,3050,86,55,65,78,77
11405,40.713375,-73.78795,10,2093,91,38,62,84,77
11416,40.683044,-73.85399,10,2725,88,56,49,84,77
10017,40.75369,-73.97095,10,4125,77,65,90,75,76
10022,40.757095,-73.96467,10,4100,77,68,89,75,76
10025,40.803333,-73.96602,10,3373,81,56,83,80,76
10027,40.811375,-73.94614,10,3650,81,56,71,91,76
10031,40.826096,-73.94279,10,2938,84,52,70,86,76
10037,40.816135,-73.93836,9,2900,87,48,61,88,76
10039,40.823917,-73.9418,10,3148,83,53,72,88,76
10075,40.77141,-73.95517,10,3735,81,57,82,75,76
10468,40.87641,-73.90025,10,2323,91,33,59,85,76
11222,40.721165,-73.94356,10,3725,79,72,66,81,76
11232,40.654774,-74.01379,10,3350,80,72,57,79,76
11431,40.706055,-73.81278,10,2093,91,37,52,82,76
10010,40.736977,-73.98023,10,4625,74,75,78,74,75
10023,40.778374,-73.98456,10,4100,79,66,74,69,75
10024,40.783527,-73.98375,10,4248,79,60,75,82,75
10032,40.834373,-73.94232,10,3148,84,50,65,84,75
10040,40.85679,-73.930504,10,2745,88,34,69,83,75
10128,40.778492,-73.947464,10,4498,78,64,81,75,75
10455,40.814865,-73.91533,10,2825,87,39,62,85,75
11204,40.611294,-73.987305,10,2450,87,49,51,79,75
11209,40.63133,-74.02622,10,2825,86,53,59,73,75
11223,40.59002,-73.97275,10,2350,90,48,42,76,75
11380,40.753914,-73.89061,10,2475,88,44,50,82,75
11419,40.69282,-73.81542,8,2767,88,45,48,83,75
11437,40.713688,-73.81775,10,2031,92,41,43,71,75
10028,40.773724,-73.94734,10,3923,77,59,83,74,74
11214,40.590702,-73.98972,10,2450,89,40,48,73,74
11218,40.6424,-73.97457,10,3623,81,67,49,72,74
11229,40.599483,-73.95665,10,2700,87,50,50,69,74
11368,40.745644,-73.85632,10,2650,88,36,54,82,74
11378,40.724533,-73.905304,10,2990,86,53,43,71,74
11418,40.705482,-73.83621,10,2650,86,51,40,81,74
10001,40.7471,-73.9963,10,4617,68,81,87,72,73
10033,40.84781,-73.94177,10,3148,85,37,64,85,73
10034,40.868412,-73.916756,10,2050,88,27,63,83,73
10456,40.828537,-73.90105,10,3357,85,43,53,85,73
10458,40.869755,-73.88974,10,3547,86,31,59,86,73
11235,40.578438,-73.96208,10,2684,87,43,47,73,73
11252,40.620472,-74.038376,10,3450,84,52,57,61,73
11352,40.75423,-73.832245,10,2250,90,27,57,74,73
11374,40.725906,-73.85755,10,2450,87,45,41,78,73
11375,40.718643,-73.83888,10,2500,88,42,56,62,73
11417,40.680294,-73.84795,8,2700,89,55,37,48,73
11224,40.578457,-73.98264,10,2925,86,42,48,69,72
11354,40.766636,-73.8239,10,2648,89,24,63,72,72
11390,40.75423,-73.832245,10,2448,89,28,59,74,72
