zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
10001,40.75064,-73.99728,0,71.89189189,32.68954955,33,Manhattan,80,92,77,Full Data,10
10002,40.71597,-73.98692,83,71.23832924,30.74954955,67,Manhattan,0,0,0,Housing Only,0
10003,40.73184,-73.98915,77,50.01939739,47.28439782,62,Manhattan,0,0,0,Housing Only,0
10004,40.69431,-74.01835,80,65.23341523,33.34954955,64,Manhattan,0,0,0,Housing Only,0
10005,40.70614,-74.00862,81,71.99017199,33.18954955,67,Manhattan,0,0,0,Housing Only,0
10006,40.70949,-74.01306,83,70.51597052,33.26954955,67,Manhattan,0,0,0,Housing Only,0
10007,40.71387,-74.00792,49,62.8992629,32.70954955,48,Manhattan,0,0,0,Housing Only,0
10009,40.72639,-73.97865,82,68.31376831,31.92954955,66,Manhattan,0,0,0,Housing Only,0
10010,40.73899,-73.98243,78,58.40786241,32.96954955,62,Manhattan,0,0,0,Housing Only,0
10011,40.74173,-74.00037,73,58.98374196,33.06954955,59,Manhattan,0,0,0,Housing Only,0
10012,40.7256,-73.99794,54,50.5978706,32.94954955,48,Manhattan,0,0,0,Housing Only,0
10013,40.72001,-74.00472,41,56.73785674,32.56954955,42,Manhattan,0,0,0,Housing Only,0
10014,40.73407,-74.00601,68,53.9028539,33.32954955,56,Manhattan,0,0,0,Housing Only,0
10016,40.74515,-73.97807,84,68.67776868,52.63756617,72,Manhattan,0,0,0,Housing Only,0
10017,40.75235,-73.9726,87,72.36817237,33.22954955,70,Manhattan,0,0,0,Housing Only,0
10018,40.75536,-73.99265,77,65.40540541,32.72954955,63,Manhattan,0,0,0,Housing Only,0
10019,40.76586,-73.9853,80,64.19633164,45.33834893,67,Manhattan,0,0,0,Housing Only,0
10020,40.75917,-73.98071,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10021,40.76963,-73.95899,76,63.95996884,65.74652935,70,Manhattan,0,0,0,Housing Only,0
10022,40.75856,-73.96787,81,70.65637066,33.34954955,66,Manhattan,0,0,0,Housing Only,0
10023,40.77464,-73.97836,76,62.25699384,33.22954955,62,Manhattan,0,0,0,Housing Only,0
10024,40.78534,-73.97138,73,63.01987938,33.20954955,60,Manhattan,0,0,0,Housing Only,0
10025,40.79825,-73.96831,81,70.1006201,32.44954955,66,Manhattan,0,0,0,Housing Only,0
10026,40.80302,-73.95348,86,82.88066937,31.46954955,71,Manhattan,0,0,0,Housing Only,0
10027,40.81187,-73.95459,86,86.92874693,31.54954955,72,Manhattan,0,0,0,Housing Only,0
10028,40.77643,-73.95339,76,60.61037114,33.36954955,61,Manhattan,0,0,0,Housing Only,0
10029,40.79265,-73.94788,87,89.42290406,33.08046261,74,Manhattan,0,0,0,Housing Only,0
10030,40.81826,-73.94283,88,93.18591319,31.04954955,75,Manhattan,0,0,0,Housing Only,0
10031,40.82485,-73.95023,90,90.89226213,30.18954955,75,Manhattan,0,0,0,Housing Only,0
10032,40.839,-73.94282,90,90.62616335,29.72954955,75,Manhattan,0,0,0,Housing Only,0
